Phrase,Word,Translate
Lietuvos valstybė yra nepriklausoma demokratinė respublika.,valstubė,государство
Lietuvos valstybė yra nepriklausoma demokratinė respublika.,nepriklausoma ,независимое
Lietuvos valstybę kuria Tauta,valstybę,государство 
Suverenitetas priklauso Tautai.,preklauso,принадлежит
Niekas negali varžyti ar riboti Tautos suvereniteto,varžyti ,сдерживать; подавлять
Niekas negali varžyti ar riboti Tautos suvereniteto,riboti,ограничивать
priklausančių suverenių galių,suvereniu galu,суверенная власть
turi teisę priešintis bet kam,teise,право
turi teisę priešintis bet kam,priešintis ,сопротивляться
kas prievarta kėsinasi į Lietuvos valstybės nepriklausomybę,prievarta,насилие 
kas prievarta kėsinasi į Lietuvos valstybės nepriklausomybę,kėsinaоsi ,пытается
Aukščiausią suverenią galią Tauta vykdo tiesiogiai,tiesiogiai,напрямую
ar per demokratiškai išrinktus savo atstovus,atstovus,представитель
Aukščiausią suverenią galią ,Aukščiausią,высшая
Valstybės valdžią Lietuvoje vykdo,Valstybės valdžią,государственная власть
vykdo Seimas;Respublicos Prezidentas ir Vyriausybe; Teismas,vykdo,осуществлять
vykdo Seimas;Respublicos Prezidentas ir Vyriausybe; Teismas,vyriausybe,правительство
Valdžios įstaigos tarnauja žmonėms,Valdžios įstaigos,органы власти
Valdžios įstaigos tarnauja žmonėms,tarnauja ,служат
Konstitucija yra vientisas ir tiesiogiai taikomas aktas.,vientisas,единственным
Konstitucija yra vientisas ir tiesiogiai taikomas aktas.,tiesiogiai ,напрямую; непосредственно
Kiekvienas savo teises gali ginti remdamasis Konstitucija.,remdamasis ,основываясь; опираясь
Įstatymo nežinojimas neatleidžia nuo atsakomybės.,neatleidžia,не освобождаеt 
Įstatymo nežinojimas neatleidžia nuo atsakomybės.,atsakomybės,ответственность





